Run time in 2025-04-30_22-12-31, Model:model_DUAL_convnext更新内容：实验-model_DUAL_convnext
Current Configuration:
            Model Name: model_DUAL_convnext
            Parameters: 27.833M
            FLOPs: 11.659G
            Depth Multiplier: 3
            Expansion: 1
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 5e-05
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:5.000e-05, train_loss:4.333e-01, val_mAP: 0.0450, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.7057, val_loss:1.5256e-01
Epoch 2, lr:8.376e-06, train_loss:1.070e-01, val_mAP: 0.0672, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.7829, val_loss:1.0206e-01
Epoch 3, lr:1.668e-05, train_loss:9.347e-02, val_mAP: 0.0899, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8419, val_loss:9.2668e-02
Epoch 4, lr:2.496e-05, train_loss:9.056e-02, val_mAP: 0.1001, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8482, val_loss:8.8352e-02
Epoch 5, lr:3.322e-05, train_loss:8.861e-02, val_mAP: 0.1292, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8609, val_loss:8.5449e-02
Epoch 6, lr:4.146e-05, train_loss:8.589e-02, val_mAP: 0.1494, val_precision:0.0667, val_recall:0.0117, val_f1_score:0.0199, val_ROC:0.8574, val_loss:8.3403e-02
Epoch 7, lr:4.963e-05, train_loss:8.267e-02, val_mAP: 0.2062, val_precision:0.0667, val_recall:0.0586, val_f1_score:0.0624, val_ROC:0.8989, val_loss:7.8498e-02
Epoch 8, lr:4.919e-05, train_loss:7.958e-02, val_mAP: 0.2537, val_precision:0.0667, val_recall:0.0658, val_f1_score:0.0662, val_ROC:0.9115, val_loss:7.9930e-02
Epoch 9, lr:4.868e-05, train_loss:7.657e-02, val_mAP: 0.3367, val_precision:0.1194, val_recall:0.1023, val_f1_score:0.1094, val_ROC:0.9300, val_loss:7.2641e-02
Epoch 10, lr:4.811e-05, train_loss:7.267e-02, val_mAP: 0.4224, val_precision:0.1576, val_recall:0.1739, val_f1_score:0.1378, val_ROC:0.9394, val_loss:8.1216e-02
Epoch 11, lr:4.748e-05, train_loss:6.834e-02, val_mAP: 0.5255, val_precision:0.5389, val_recall:0.2560, val_f1_score:0.2883, val_ROC:0.9523, val_loss:5.9901e-02
Epoch 12, lr:4.680e-05, train_loss:6.418e-02, val_mAP: 0.5566, val_precision:0.5397, val_recall:0.3065, val_f1_score:0.3277, val_ROC:0.9539, val_loss:5.9710e-02
Epoch 13, lr:4.605e-05, train_loss:6.077e-02, val_mAP: 0.6013, val_precision:0.6113, val_recall:0.3844, val_f1_score:0.4259, val_ROC:0.9586, val_loss:5.3704e-02
Epoch 14, lr:4.525e-05, train_loss:5.715e-02, val_mAP: 0.6409, val_precision:0.6906, val_recall:0.4617, val_f1_score:0.5003, val_ROC:0.9642, val_loss:4.8169e-02
Epoch 15, lr:4.439e-05, train_loss:5.555e-02, val_mAP: 0.6549, val_precision:0.7606, val_recall:0.4709, val_f1_score:0.5325, val_ROC:0.9637, val_loss:4.7286e-02
Epoch 16, lr:4.348e-05, train_loss:5.257e-02, val_mAP: 0.6622, val_precision:0.7530, val_recall:0.4852, val_f1_score:0.5255, val_ROC:0.9668, val_loss:4.4808e-02
Epoch 17, lr:4.253e-05, train_loss:5.125e-02, val_mAP: 0.6823, val_precision:0.7808, val_recall:0.5448, val_f1_score:0.5830, val_ROC:0.9668, val_loss:4.5745e-02
Epoch 18, lr:4.152e-05, train_loss:4.843e-02, val_mAP: 0.7093, val_precision:0.8302, val_recall:0.5623, val_f1_score:0.6167, val_ROC:0.9701, val_loss:4.3711e-02
Epoch 19, lr:4.048e-05, train_loss:4.763e-02, val_mAP: 0.7031, val_precision:0.7405, val_recall:0.5904, val_f1_score:0.6304, val_ROC:0.9695, val_loss:4.5070e-02
Epoch 20, lr:3.939e-05, train_loss:4.513e-02, val_mAP: 0.7077, val_precision:0.7562, val_recall:0.6143, val_f1_score:0.6407, val_ROC:0.9687, val_loss:4.6440e-02
Epoch 21, lr:3.827e-05, train_loss:4.490e-02, val_mAP: 0.7443, val_precision:0.8299, val_recall:0.5771, val_f1_score:0.6327, val_ROC:0.9739, val_loss:3.6309e-02
Epoch 22, lr:3.711e-05, train_loss:4.325e-02, val_mAP: 0.7502, val_precision:0.7882, val_recall:0.6025, val_f1_score:0.6268, val_ROC:0.9764, val_loss:3.9421e-02
Epoch 23, lr:3.592e-05, train_loss:4.246e-02, val_mAP: 0.7671, val_precision:0.7955, val_recall:0.6523, val_f1_score:0.6828, val_ROC:0.9756, val_loss:3.7897e-02
Epoch 24, lr:3.470e-05, train_loss:3.943e-02, val_mAP: 0.7945, val_precision:0.8236, val_recall:0.7063, val_f1_score:0.7494, val_ROC:0.9777, val_loss:3.2686e-02
Epoch 25, lr:3.346e-05, train_loss:3.893e-02, val_mAP: 0.8131, val_precision:0.8170, val_recall:0.7531, val_f1_score:0.7733, val_ROC:0.9799, val_loss:3.3041e-02
Epoch 26, lr:3.220e-05, train_loss:3.925e-02, val_mAP: 0.8135, val_precision:0.8367, val_recall:0.7149, val_f1_score:0.7507, val_ROC:0.9812, val_loss:3.0992e-02
Epoch 27, lr:3.091e-05, train_loss:3.732e-02, val_mAP: 0.8196, val_precision:0.8185, val_recall:0.7439, val_f1_score:0.7721, val_ROC:0.9807, val_loss:2.9827e-02
Epoch 28, lr:2.962e-05, train_loss:3.545e-02, val_mAP: 0.8195, val_precision:0.8064, val_recall:0.7486, val_f1_score:0.7513, val_ROC:0.9808, val_loss:3.3901e-02
Epoch 29, lr:2.831e-05, train_loss:3.528e-02, val_mAP: 0.8270, val_precision:0.8303, val_recall:0.7210, val_f1_score:0.7553, val_ROC:0.9824, val_loss:2.9938e-02
Epoch 30, lr:2.700e-05, train_loss:3.421e-02, val_mAP: 0.8312, val_precision:0.8744, val_recall:0.7187, val_f1_score:0.7776, val_ROC:0.9825, val_loss:2.7305e-02
Epoch 31, lr:2.568e-05, train_loss:3.274e-02, val_mAP: 0.8296, val_precision:0.8203, val_recall:0.7600, val_f1_score:0.7760, val_ROC:0.9816, val_loss:3.0150e-02
Epoch 32, lr:2.436e-05, train_loss:3.279e-02, val_mAP: 0.8304, val_precision:0.8313, val_recall:0.7675, val_f1_score:0.7825, val_ROC:0.9818, val_loss:3.0658e-02
Epoch 33, lr:2.305e-05, train_loss:3.131e-02, val_mAP: 0.8355, val_precision:0.8229, val_recall:0.7668, val_f1_score:0.7691, val_ROC:0.9824, val_loss:3.2061e-02
Epoch 34, lr:2.174e-05, train_loss:3.112e-02, val_mAP: 0.8410, val_precision:0.8450, val_recall:0.7552, val_f1_score:0.7906, val_ROC:0.9834, val_loss:2.6791e-02
Epoch 35, lr:2.044e-05, train_loss:3.112e-02, val_mAP: 0.8407, val_precision:0.8507, val_recall:0.7566, val_f1_score:0.7893, val_ROC:0.9828, val_loss:2.7673e-02
Epoch 36, lr:1.916e-05, train_loss:2.915e-02, val_mAP: 0.8539, val_precision:0.8627, val_recall:0.7756, val_f1_score:0.8041, val_ROC:0.9843, val_loss:2.6746e-02
Epoch 37, lr:1.790e-05, train_loss:2.855e-02, val_mAP: 0.8554, val_precision:0.8527, val_recall:0.7715, val_f1_score:0.8011, val_ROC:0.9844, val_loss:2.6562e-02
Epoch 38, lr:1.666e-05, train_loss:2.862e-02, val_mAP: 0.8576, val_precision:0.8561, val_recall:0.7805, val_f1_score:0.8074, val_ROC:0.9846, val_loss:2.6475e-02
