Run time in 2025-04-30_21-36-15, Model:model_DUAL_regnet更新内容：实验-model_DUAL_regnet
Current Configuration:
            Model Name: model_DUAL_regnet
            Parameters: 14.318M
            FLOPs: 8.414G
            Depth Multiplier: 3
            Expansion: 1
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 5e-05
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:5.000e-05, train_loss:5.667e-01, val_mAP: 0.0285, val_precision:0.0124, val_recall:0.0251, val_f1_score:0.0068, val_ROC:0.5416, val_loss:3.9540e-01
Epoch 2, lr:8.376e-06, train_loss:2.313e-01, val_mAP: 0.0694, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.7349, val_loss:1.5337e-01
Epoch 3, lr:1.668e-05, train_loss:1.170e-01, val_mAP: 0.1083, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8380, val_loss:1.0913e-01
Epoch 4, lr:2.496e-05, train_loss:9.458e-02, val_mAP: 0.1622, val_precision:0.0667, val_recall:0.0099, val_f1_score:0.0173, val_ROC:0.8663, val_loss:1.0301e-01
Epoch 5, lr:3.322e-05, train_loss:8.581e-02, val_mAP: 0.2089, val_precision:0.0667, val_recall:0.0559, val_f1_score:0.0608, val_ROC:0.8942, val_loss:9.3577e-02
Epoch 6, lr:4.146e-05, train_loss:7.937e-02, val_mAP: 0.3283, val_precision:0.3247, val_recall:0.0979, val_f1_score:0.1193, val_ROC:0.9208, val_loss:8.9346e-02
Epoch 7, lr:4.963e-05, train_loss:7.245e-02, val_mAP: 0.4303, val_precision:0.3005, val_recall:0.1846, val_f1_score:0.2182, val_ROC:0.9296, val_loss:7.4072e-02
Epoch 8, lr:4.919e-05, train_loss:6.623e-02, val_mAP: 0.5242, val_precision:0.4936, val_recall:0.2708, val_f1_score:0.3143, val_ROC:0.9364, val_loss:6.2319e-02
Epoch 9, lr:4.868e-05, train_loss:6.098e-02, val_mAP: 0.5646, val_precision:0.6177, val_recall:0.3312, val_f1_score:0.3860, val_ROC:0.9371, val_loss:5.7338e-02
Epoch 10, lr:4.811e-05, train_loss:5.791e-02, val_mAP: 0.5948, val_precision:0.7090, val_recall:0.3655, val_f1_score:0.4382, val_ROC:0.9411, val_loss:6.1884e-02
Epoch 11, lr:4.748e-05, train_loss:5.399e-02, val_mAP: 0.6350, val_precision:0.7263, val_recall:0.4665, val_f1_score:0.5284, val_ROC:0.9434, val_loss:5.9202e-02
Epoch 12, lr:4.680e-05, train_loss:5.186e-02, val_mAP: 0.6524, val_precision:0.7515, val_recall:0.4778, val_f1_score:0.5435, val_ROC:0.9513, val_loss:4.8299e-02
Epoch 13, lr:4.605e-05, train_loss:4.972e-02, val_mAP: 0.6645, val_precision:0.8307, val_recall:0.4861, val_f1_score:0.5582, val_ROC:0.9503, val_loss:4.9330e-02
Epoch 14, lr:4.525e-05, train_loss:4.713e-02, val_mAP: 0.6750, val_precision:0.8583, val_recall:0.4744, val_f1_score:0.5596, val_ROC:0.9560, val_loss:4.5005e-02
Epoch 15, lr:4.439e-05, train_loss:4.626e-02, val_mAP: 0.6970, val_precision:0.8450, val_recall:0.5074, val_f1_score:0.5784, val_ROC:0.9607, val_loss:4.2707e-02
Epoch 16, lr:4.348e-05, train_loss:4.526e-02, val_mAP: 0.6955, val_precision:0.8283, val_recall:0.5493, val_f1_score:0.6169, val_ROC:0.9579, val_loss:4.4262e-02
Epoch 17, lr:4.253e-05, train_loss:4.341e-02, val_mAP: 0.7163, val_precision:0.8617, val_recall:0.5434, val_f1_score:0.6117, val_ROC:0.9596, val_loss:4.1383e-02
Epoch 18, lr:4.152e-05, train_loss:4.237e-02, val_mAP: 0.7415, val_precision:0.8555, val_recall:0.6025, val_f1_score:0.6634, val_ROC:0.9645, val_loss:3.8912e-02
Epoch 19, lr:4.048e-05, train_loss:4.110e-02, val_mAP: 0.7276, val_precision:0.8198, val_recall:0.5967, val_f1_score:0.6658, val_ROC:0.9655, val_loss:3.9916e-02
Epoch 20, lr:3.939e-05, train_loss:4.025e-02, val_mAP: 0.7393, val_precision:0.8424, val_recall:0.5839, val_f1_score:0.6499, val_ROC:0.9636, val_loss:4.0041e-02
Epoch 21, lr:3.827e-05, train_loss:3.864e-02, val_mAP: 0.7545, val_precision:0.8643, val_recall:0.5957, val_f1_score:0.6737, val_ROC:0.9679, val_loss:3.6785e-02
Epoch 22, lr:3.711e-05, train_loss:3.890e-02, val_mAP: 0.7632, val_precision:0.8508, val_recall:0.6141, val_f1_score:0.6874, val_ROC:0.9697, val_loss:3.7572e-02
Epoch 23, lr:3.592e-05, train_loss:3.737e-02, val_mAP: 0.7579, val_precision:0.8426, val_recall:0.6165, val_f1_score:0.6803, val_ROC:0.9668, val_loss:3.8831e-02
Epoch 24, lr:3.470e-05, train_loss:3.590e-02, val_mAP: 0.7706, val_precision:0.8374, val_recall:0.6442, val_f1_score:0.7003, val_ROC:0.9683, val_loss:3.5884e-02
Epoch 25, lr:3.346e-05, train_loss:3.531e-02, val_mAP: 0.7713, val_precision:0.8755, val_recall:0.6211, val_f1_score:0.6943, val_ROC:0.9706, val_loss:3.5988e-02
Epoch 26, lr:3.220e-05, train_loss:3.480e-02, val_mAP: 0.7808, val_precision:0.8891, val_recall:0.6216, val_f1_score:0.6992, val_ROC:0.9736, val_loss:3.3865e-02
Epoch 27, lr:3.091e-05, train_loss:3.453e-02, val_mAP: 0.7828, val_precision:0.8819, val_recall:0.6053, val_f1_score:0.6935, val_ROC:0.9739, val_loss:3.3941e-02
Epoch 28, lr:2.962e-05, train_loss:3.371e-02, val_mAP: 0.7811, val_precision:0.8722, val_recall:0.6386, val_f1_score:0.7124, val_ROC:0.9706, val_loss:3.5511e-02
Epoch 29, lr:2.831e-05, train_loss:3.225e-02, val_mAP: 0.7881, val_precision:0.8657, val_recall:0.6278, val_f1_score:0.6933, val_ROC:0.9737, val_loss:3.4378e-02
Epoch 30, lr:2.700e-05, train_loss:3.185e-02, val_mAP: 0.8036, val_precision:0.8745, val_recall:0.6651, val_f1_score:0.7218, val_ROC:0.9753, val_loss:3.3766e-02
Epoch 31, lr:2.568e-05, train_loss:3.152e-02, val_mAP: 0.7916, val_precision:0.8773, val_recall:0.6414, val_f1_score:0.7133, val_ROC:0.9753, val_loss:3.3162e-02
Epoch 32, lr:2.436e-05, train_loss:3.142e-02, val_mAP: 0.7923, val_precision:0.8697, val_recall:0.6531, val_f1_score:0.7285, val_ROC:0.9762, val_loss:3.3424e-02
Epoch 33, lr:2.305e-05, train_loss:3.067e-02, val_mAP: 0.7987, val_precision:0.8688, val_recall:0.6732, val_f1_score:0.7379, val_ROC:0.9757, val_loss:3.1957e-02
Epoch 34, lr:2.174e-05, train_loss:3.115e-02, val_mAP: 0.7983, val_precision:0.8686, val_recall:0.6738, val_f1_score:0.7444, val_ROC:0.9773, val_loss:3.1869e-02
Epoch 35, lr:2.044e-05, train_loss:2.943e-02, val_mAP: 0.8048, val_precision:0.8722, val_recall:0.6685, val_f1_score:0.7375, val_ROC:0.9774, val_loss:3.1482e-02
Epoch 36, lr:1.916e-05, train_loss:2.979e-02, val_mAP: 0.7992, val_precision:0.8723, val_recall:0.6641, val_f1_score:0.7280, val_ROC:0.9771, val_loss:3.2582e-02
Epoch 37, lr:1.790e-05, train_loss:2.889e-02, val_mAP: 0.8074, val_precision:0.8632, val_recall:0.6807, val_f1_score:0.7330, val_ROC:0.9768, val_loss:3.3085e-02
Epoch 38, lr:1.666e-05, train_loss:2.864e-02, val_mAP: 0.7982, val_precision:0.8685, val_recall:0.6708, val_f1_score:0.7381, val_ROC:0.9754, val_loss:3.1856e-02
Epoch 39, lr:1.544e-05, train_loss:2.767e-02, val_mAP: 0.8110, val_precision:0.8640, val_recall:0.6860, val_f1_score:0.7514, val_ROC:0.9769, val_loss:3.0547e-02
Epoch 40, lr:1.425e-05, train_loss:2.815e-02, val_mAP: 0.8134, val_precision:0.8862, val_recall:0.6704, val_f1_score:0.7445, val_ROC:0.9774, val_loss:3.1030e-02
