Run time in 2025-04-30_20-25-21, Model:model_DUAL_resnet更新内容：实验-model_DUAL_resnet
Current Configuration:
            Model Name: model_DUAL_resnet
            Parameters: 23.569M
            FLOPs: 10.793G
            Depth Multiplier: 3
            Expansion: 1
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 5e-05
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:5.000e-05, train_loss:5.535e-01, val_mAP: 0.0346, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.5751, val_loss:3.2056e-01
Epoch 2, lr:8.376e-06, train_loss:1.635e-01, val_mAP: 0.1204, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8244, val_loss:1.2129e-01
Epoch 3, lr:1.668e-05, train_loss:9.813e-02, val_mAP: 0.1608, val_precision:0.0667, val_recall:0.0135, val_f1_score:0.0225, val_ROC:0.8718, val_loss:9.7132e-02
Epoch 4, lr:2.496e-05, train_loss:8.646e-02, val_mAP: 0.1890, val_precision:0.0667, val_recall:0.0568, val_f1_score:0.0613, val_ROC:0.8855, val_loss:8.6363e-02
Epoch 5, lr:3.322e-05, train_loss:7.850e-02, val_mAP: 0.3696, val_precision:0.2736, val_recall:0.1778, val_f1_score:0.2077, val_ROC:0.9218, val_loss:7.3472e-02
Epoch 6, lr:4.146e-05, train_loss:7.116e-02, val_mAP: 0.4451, val_precision:0.4515, val_recall:0.1943, val_f1_score:0.2356, val_ROC:0.9337, val_loss:6.5933e-02
Epoch 7, lr:4.963e-05, train_loss:6.537e-02, val_mAP: 0.4886, val_precision:0.4095, val_recall:0.2621, val_f1_score:0.2840, val_ROC:0.9335, val_loss:6.5408e-02
Epoch 8, lr:4.919e-05, train_loss:6.076e-02, val_mAP: 0.5600, val_precision:0.6126, val_recall:0.3190, val_f1_score:0.3683, val_ROC:0.9410, val_loss:5.8928e-02
Epoch 9, lr:4.868e-05, train_loss:5.784e-02, val_mAP: 0.5650, val_precision:0.6998, val_recall:0.3289, val_f1_score:0.3954, val_ROC:0.9493, val_loss:5.4953e-02
Epoch 10, lr:4.811e-05, train_loss:5.451e-02, val_mAP: 0.5993, val_precision:0.7189, val_recall:0.3808, val_f1_score:0.4359, val_ROC:0.9487, val_loss:5.2776e-02
Epoch 11, lr:4.748e-05, train_loss:5.224e-02, val_mAP: 0.6494, val_precision:0.8491, val_recall:0.4058, val_f1_score:0.4818, val_ROC:0.9570, val_loss:4.8140e-02
Epoch 12, lr:4.680e-05, train_loss:4.889e-02, val_mAP: 0.6558, val_precision:0.8282, val_recall:0.4476, val_f1_score:0.5243, val_ROC:0.9573, val_loss:4.7526e-02
Epoch 13, lr:4.605e-05, train_loss:4.829e-02, val_mAP: 0.6897, val_precision:0.8568, val_recall:0.4665, val_f1_score:0.5666, val_ROC:0.9658, val_loss:4.4317e-02
Epoch 14, lr:4.525e-05, train_loss:4.597e-02, val_mAP: 0.6759, val_precision:0.8819, val_recall:0.4643, val_f1_score:0.5451, val_ROC:0.9641, val_loss:4.3328e-02
Epoch 15, lr:4.439e-05, train_loss:4.480e-02, val_mAP: 0.7155, val_precision:0.8322, val_recall:0.5273, val_f1_score:0.5959, val_ROC:0.9666, val_loss:4.2400e-02
Epoch 16, lr:4.348e-05, train_loss:4.369e-02, val_mAP: 0.7495, val_precision:0.9034, val_recall:0.5463, val_f1_score:0.6275, val_ROC:0.9700, val_loss:3.9745e-02
Epoch 17, lr:4.253e-05, train_loss:4.166e-02, val_mAP: 0.7186, val_precision:0.8343, val_recall:0.5291, val_f1_score:0.6164, val_ROC:0.9665, val_loss:4.0247e-02
Epoch 18, lr:4.152e-05, train_loss:4.010e-02, val_mAP: 0.7312, val_precision:0.8506, val_recall:0.5196, val_f1_score:0.5964, val_ROC:0.9698, val_loss:4.1073e-02
Epoch 19, lr:4.048e-05, train_loss:4.056e-02, val_mAP: 0.7454, val_precision:0.8511, val_recall:0.5847, val_f1_score:0.6614, val_ROC:0.9701, val_loss:3.8432e-02
Epoch 20, lr:3.939e-05, train_loss:3.900e-02, val_mAP: 0.7595, val_precision:0.8622, val_recall:0.5980, val_f1_score:0.6666, val_ROC:0.9727, val_loss:3.8387e-02
Epoch 21, lr:3.827e-05, train_loss:3.849e-02, val_mAP: 0.7667, val_precision:0.8751, val_recall:0.5899, val_f1_score:0.6736, val_ROC:0.9727, val_loss:3.5636e-02
Epoch 22, lr:3.711e-05, train_loss:3.798e-02, val_mAP: 0.7696, val_precision:0.8405, val_recall:0.5984, val_f1_score:0.6696, val_ROC:0.9741, val_loss:3.8133e-02
Epoch 23, lr:3.592e-05, train_loss:3.639e-02, val_mAP: 0.7774, val_precision:0.8752, val_recall:0.5574, val_f1_score:0.6349, val_ROC:0.9734, val_loss:3.8850e-02
Epoch 24, lr:3.470e-05, train_loss:3.559e-02, val_mAP: 0.7905, val_precision:0.8912, val_recall:0.6266, val_f1_score:0.7030, val_ROC:0.9754, val_loss:3.4584e-02
Epoch 25, lr:3.346e-05, train_loss:3.443e-02, val_mAP: 0.7885, val_precision:0.8666, val_recall:0.6227, val_f1_score:0.6989, val_ROC:0.9741, val_loss:3.3801e-02
Epoch 26, lr:3.220e-05, train_loss:3.494e-02, val_mAP: 0.7949, val_precision:0.8960, val_recall:0.6090, val_f1_score:0.6906, val_ROC:0.9749, val_loss:3.3907e-02
Epoch 27, lr:3.091e-05, train_loss:3.352e-02, val_mAP: 0.7788, val_precision:0.9115, val_recall:0.5937, val_f1_score:0.6832, val_ROC:0.9745, val_loss:3.4248e-02
Epoch 28, lr:2.962e-05, train_loss:3.251e-02, val_mAP: 0.7878, val_precision:0.8715, val_recall:0.6196, val_f1_score:0.6943, val_ROC:0.9721, val_loss:3.6687e-02
Epoch 29, lr:2.831e-05, train_loss:3.235e-02, val_mAP: 0.7871, val_precision:0.8653, val_recall:0.6108, val_f1_score:0.6779, val_ROC:0.9724, val_loss:3.6237e-02
Epoch 30, lr:2.700e-05, train_loss:3.173e-02, val_mAP: 0.7947, val_precision:0.8406, val_recall:0.6567, val_f1_score:0.7216, val_ROC:0.9722, val_loss:3.4130e-02
Epoch 31, lr:2.568e-05, train_loss:3.069e-02, val_mAP: 0.8026, val_precision:0.8989, val_recall:0.6316, val_f1_score:0.7132, val_ROC:0.9750, val_loss:3.2640e-02
Epoch 32, lr:2.436e-05, train_loss:2.999e-02, val_mAP: 0.8021, val_precision:0.8722, val_recall:0.6142, val_f1_score:0.6972, val_ROC:0.9754, val_loss:3.3961e-02
Epoch 33, lr:2.305e-05, train_loss:2.961e-02, val_mAP: 0.8136, val_precision:0.8483, val_recall:0.6521, val_f1_score:0.7149, val_ROC:0.9760, val_loss:3.2716e-02
Epoch 34, lr:2.174e-05, train_loss:2.950e-02, val_mAP: 0.8057, val_precision:0.8968, val_recall:0.6168, val_f1_score:0.6963, val_ROC:0.9756, val_loss:3.3365e-02
Epoch 35, lr:2.044e-05, train_loss:2.864e-02, val_mAP: 0.8071, val_precision:0.8725, val_recall:0.6449, val_f1_score:0.7252, val_ROC:0.9772, val_loss:3.1212e-02
Epoch 36, lr:1.916e-05, train_loss:2.778e-02, val_mAP: 0.8122, val_precision:0.8750, val_recall:0.6354, val_f1_score:0.7123, val_ROC:0.9758, val_loss:3.1643e-02
Epoch 37, lr:1.790e-05, train_loss:2.775e-02, val_mAP: 0.8309, val_precision:0.8798, val_recall:0.6803, val_f1_score:0.7554, val_ROC:0.9784, val_loss:2.9059e-02
Epoch 38, lr:1.666e-05, train_loss:2.584e-02, val_mAP: 0.8156, val_precision:0.9173, val_recall:0.6330, val_f1_score:0.7206, val_ROC:0.9773, val_loss:3.1724e-02
Epoch 39, lr:1.544e-05, train_loss:2.650e-02, val_mAP: 0.8121, val_precision:0.8928, val_recall:0.6466, val_f1_score:0.7301, val_ROC:0.9771, val_loss:3.0410e-02
Epoch 40, lr:1.425e-05, train_loss:2.602e-02, val_mAP: 0.8202, val_precision:0.8869, val_recall:0.6447, val_f1_score:0.7213, val_ROC:0.9779, val_loss:3.2414e-02
Epoch 41, lr:1.309e-05, train_loss:2.677e-02, val_mAP: 0.8092, val_precision:0.8601, val_recall:0.6567, val_f1_score:0.7290, val_ROC:0.9763, val_loss:3.1166e-02
Epoch 42, lr:1.197e-05, train_loss:2.551e-02, val_mAP: 0.8097, val_precision:0.8720, val_recall:0.6730, val_f1_score:0.7416, val_ROC:0.9769, val_loss:3.1505e-02
Epoch 43, lr:1.088e-05, train_loss:2.541e-02, val_mAP: 0.8163, val_precision:0.8940, val_recall:0.6683, val_f1_score:0.7407, val_ROC:0.9777, val_loss:3.0524e-02
Epoch 44, lr:9.833e-06, train_loss:2.536e-02, val_mAP: 0.8203, val_precision:0.8840, val_recall:0.6530, val_f1_score:0.7296, val_ROC:0.9783, val_loss:3.0992e-02
Epoch 45, lr:8.831e-06, train_loss:2.429e-02, val_mAP: 0.8252, val_precision:0.8838, val_recall:0.6410, val_f1_score:0.7239, val_ROC:0.9785, val_loss:3.1400e-02
Epoch 46, lr:7.875e-06, train_loss:2.399e-02, val_mAP: 0.8270, val_precision:0.8784, val_recall:0.6582, val_f1_score:0.7325, val_ROC:0.9792, val_loss:3.0547e-02
Epoch 47, lr:6.967e-06, train_loss:2.354e-02, val_mAP: 0.8268, val_precision:0.8963, val_recall:0.6473, val_f1_score:0.7333, val_ROC:0.9792, val_loss:3.0451e-02
Epoch 48, lr:6.111e-06, train_loss:2.443e-02, val_mAP: 0.8217, val_precision:0.8944, val_recall:0.6434, val_f1_score:0.7252, val_ROC:0.9785, val_loss:3.0865e-02
Epoch 49, lr:5.309e-06, train_loss:2.413e-02, val_mAP: 0.8274, val_precision:0.8998, val_recall:0.6606, val_f1_score:0.7402, val_ROC:0.9795, val_loss:3.0019e-02
Epoch 50, lr:4.562e-06, train_loss:2.375e-02, val_mAP: 0.8238, val_precision:0.9117, val_recall:0.6507, val_f1_score:0.7363, val_ROC:0.9793, val_loss:3.0156e-02
Epoch 51, lr:3.873e-06, train_loss:2.349e-02, val_mAP: 0.8229, val_precision:0.9125, val_recall:0.6458, val_f1_score:0.7316, val_ROC:0.9794, val_loss:3.0212e-02
Epoch 52, lr:3.244e-06, train_loss:2.341e-02, val_mAP: 0.8273, val_precision:0.9055, val_recall:0.6538, val_f1_score:0.7354, val_ROC:0.9799, val_loss:3.0215e-02
Epoch 53, lr:2.677e-06, train_loss:2.336e-02, val_mAP: 0.8322, val_precision:0.9026, val_recall:0.6653, val_f1_score:0.7450, val_ROC:0.9804, val_loss:2.9521e-02
Epoch 54, lr:2.172e-06, train_loss:2.256e-02, val_mAP: 0.8257, val_precision:0.9085, val_recall:0.6563, val_f1_score:0.7414, val_ROC:0.9799, val_loss:2.9936e-02
Epoch 55, lr:1.732e-06, train_loss:2.255e-02, val_mAP: 0.8271, val_precision:0.9066, val_recall:0.6472, val_f1_score:0.7341, val_ROC:0.9798, val_loss:3.0226e-02
Epoch 56, lr:1.358e-06, train_loss:2.348e-02, val_mAP: 0.8294, val_precision:0.9097, val_recall:0.6544, val_f1_score:0.7376, val_ROC:0.9798, val_loss:2.9862e-02
Epoch 57, lr:1.050e-06, train_loss:2.217e-02, val_mAP: 0.8290, val_precision:0.9012, val_recall:0.6644, val_f1_score:0.7415, val_ROC:0.9800, val_loss:2.9587e-02
Epoch 58, lr:8.100e-07, train_loss:2.294e-02, val_mAP: 0.8294, val_precision:0.8967, val_recall:0.6593, val_f1_score:0.7362, val_ROC:0.9799, val_loss:2.9418e-02
Epoch 59, lr:6.379e-07, train_loss:2.304e-02, val_mAP: 0.8307, val_precision:0.9131, val_recall:0.6704, val_f1_score:0.7491, val_ROC:0.9803, val_loss:2.9265e-02
Epoch 60, lr:5.345e-07, train_loss:2.292e-02, val_mAP: 0.8280, val_precision:0.9060, val_recall:0.6547, val_f1_score:0.7367, val_ROC:0.9801, val_loss:2.9870e-02
----------Validation Results----------
