Run time in 2025-04-30_21-00-18, Model:model_DUAL_resnext更新内容：实验-model_DUAL_resnext
Current Configuration:
            Model Name: model_DUAL_resnext
            Parameters: 23.041M
            FLOPs: 11.196G
            Depth Multiplier: 3
            Expansion: 1
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 5e-05
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:5.000e-05, train_loss:5.019e-01, val_mAP: 0.0349, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.5674, val_loss:2.6127e-01
Epoch 2, lr:8.376e-06, train_loss:1.589e-01, val_mAP: 0.1138, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.7998, val_loss:1.1426e-01
Epoch 3, lr:1.668e-05, train_loss:1.007e-01, val_mAP: 0.1578, val_precision:0.0667, val_recall:0.0423, val_f1_score:0.0518, val_ROC:0.8682, val_loss:9.4253e-02
Epoch 4, lr:2.496e-05, train_loss:8.629e-02, val_mAP: 0.2523, val_precision:0.0667, val_recall:0.0640, val_f1_score:0.0653, val_ROC:0.9020, val_loss:8.2630e-02
Epoch 5, lr:3.322e-05, train_loss:7.675e-02, val_mAP: 0.4036, val_precision:0.3033, val_recall:0.1725, val_f1_score:0.1991, val_ROC:0.9301, val_loss:7.5307e-02
Epoch 6, lr:4.146e-05, train_loss:6.716e-02, val_mAP: 0.5349, val_precision:0.4739, val_recall:0.3001, val_f1_score:0.3502, val_ROC:0.9363, val_loss:6.6744e-02
Epoch 7, lr:4.963e-05, train_loss:5.895e-02, val_mAP: 0.5865, val_precision:0.6623, val_recall:0.3870, val_f1_score:0.4026, val_ROC:0.9407, val_loss:6.1421e-02
Epoch 8, lr:4.919e-05, train_loss:5.585e-02, val_mAP: 0.6518, val_precision:0.6825, val_recall:0.4593, val_f1_score:0.5133, val_ROC:0.9540, val_loss:4.9595e-02
Epoch 9, lr:4.868e-05, train_loss:5.053e-02, val_mAP: 0.6602, val_precision:0.7262, val_recall:0.4562, val_f1_score:0.5307, val_ROC:0.9534, val_loss:4.9526e-02
Epoch 10, lr:4.811e-05, train_loss:4.772e-02, val_mAP: 0.6973, val_precision:0.8225, val_recall:0.5315, val_f1_score:0.5793, val_ROC:0.9615, val_loss:4.3682e-02
Epoch 11, lr:4.748e-05, train_loss:4.456e-02, val_mAP: 0.7098, val_precision:0.8607, val_recall:0.5070, val_f1_score:0.5943, val_ROC:0.9641, val_loss:4.2435e-02
Epoch 12, lr:4.680e-05, train_loss:4.366e-02, val_mAP: 0.7478, val_precision:0.8360, val_recall:0.5584, val_f1_score:0.6259, val_ROC:0.9654, val_loss:4.0358e-02
Epoch 13, lr:4.605e-05, train_loss:4.075e-02, val_mAP: 0.7536, val_precision:0.8900, val_recall:0.5838, val_f1_score:0.6513, val_ROC:0.9646, val_loss:3.9459e-02
Epoch 14, lr:4.525e-05, train_loss:3.934e-02, val_mAP: 0.7652, val_precision:0.8766, val_recall:0.5969, val_f1_score:0.6715, val_ROC:0.9689, val_loss:3.7446e-02
Epoch 15, lr:4.439e-05, train_loss:3.833e-02, val_mAP: 0.7672, val_precision:0.9098, val_recall:0.5700, val_f1_score:0.6548, val_ROC:0.9719, val_loss:3.7277e-02
Epoch 16, lr:4.348e-05, train_loss:3.622e-02, val_mAP: 0.7851, val_precision:0.8888, val_recall:0.6184, val_f1_score:0.6667, val_ROC:0.9691, val_loss:3.8833e-02
Epoch 17, lr:4.253e-05, train_loss:3.506e-02, val_mAP: 0.7979, val_precision:0.8960, val_recall:0.6257, val_f1_score:0.7056, val_ROC:0.9705, val_loss:3.3090e-02
Epoch 18, lr:4.152e-05, train_loss:3.355e-02, val_mAP: 0.7829, val_precision:0.8871, val_recall:0.6065, val_f1_score:0.6854, val_ROC:0.9723, val_loss:3.6973e-02
Epoch 19, lr:4.048e-05, train_loss:3.271e-02, val_mAP: 0.7899, val_precision:0.8904, val_recall:0.5802, val_f1_score:0.6536, val_ROC:0.9743, val_loss:3.7428e-02
Epoch 20, lr:3.939e-05, train_loss:3.179e-02, val_mAP: 0.7946, val_precision:0.8902, val_recall:0.6087, val_f1_score:0.6717, val_ROC:0.9729, val_loss:3.7995e-02
Epoch 21, lr:3.827e-05, train_loss:3.082e-02, val_mAP: 0.7979, val_precision:0.9282, val_recall:0.6042, val_f1_score:0.6988, val_ROC:0.9738, val_loss:3.3476e-02
Epoch 22, lr:3.711e-05, train_loss:3.027e-02, val_mAP: 0.8117, val_precision:0.9207, val_recall:0.6310, val_f1_score:0.7078, val_ROC:0.9775, val_loss:3.2962e-02
Epoch 23, lr:3.592e-05, train_loss:2.897e-02, val_mAP: 0.7990, val_precision:0.8769, val_recall:0.5936, val_f1_score:0.6556, val_ROC:0.9721, val_loss:4.1354e-02
