Run time in 2025-04-30_13-20-24, Model:model_Vanilla_convnext更新内容：实验-model_Vanilla_convnext
Current Configuration:
            Model Name: model_Vanilla_convnext
            Parameters: 27.822M
            FLOPs: 11.659G
            Depth Multiplier: 3
            Expansion: 1
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 0.0001
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:1.000e-04, train_loss:4.487e-01, val_mAP: 0.0583, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.7537, val_loss:1.2665e-01
Epoch 2, lr:1.675e-05, train_loss:1.039e-01, val_mAP: 0.0906, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8507, val_loss:8.6966e-02
Epoch 3, lr:3.336e-05, train_loss:9.089e-02, val_mAP: 0.0904, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8541, val_loss:9.4695e-02
Epoch 4, lr:4.993e-05, train_loss:8.883e-02, val_mAP: 0.1041, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8626, val_loss:8.8474e-02
Epoch 5, lr:6.645e-05, train_loss:8.823e-02, val_mAP: 0.1302, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8704, val_loss:8.3603e-02
Epoch 6, lr:8.292e-05, train_loss:8.600e-02, val_mAP: 0.1672, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8824, val_loss:7.8858e-02
Epoch 7, lr:9.925e-05, train_loss:8.224e-02, val_mAP: 0.2085, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8974, val_loss:7.8156e-02
Epoch 8, lr:9.837e-05, train_loss:7.986e-02, val_mAP: 0.2538, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9057, val_loss:7.3303e-02
Epoch 9, lr:9.736e-05, train_loss:7.658e-02, val_mAP: 0.3526, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9305, val_loss:6.8053e-02
Epoch 10, lr:9.623e-05, train_loss:7.303e-02, val_mAP: 0.4534, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9443, val_loss:6.5495e-02
Epoch 11, lr:9.497e-05, train_loss:6.792e-02, val_mAP: 0.5150, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9485, val_loss:5.5971e-02
Epoch 12, lr:9.359e-05, train_loss:6.381e-02, val_mAP: 0.5613, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9533, val_loss:5.7650e-02
Epoch 13, lr:9.210e-05, train_loss:6.100e-02, val_mAP: 0.6193, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9583, val_loss:5.2775e-02
Epoch 14, lr:9.049e-05, train_loss:5.730e-02, val_mAP: 0.6508, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9619, val_loss:4.6579e-02
Epoch 15, lr:8.878e-05, train_loss:5.598e-02, val_mAP: 0.6740, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9653, val_loss:4.4146e-02
Epoch 16, lr:8.697e-05, train_loss:5.224e-02, val_mAP: 0.6851, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9686, val_loss:4.2027e-02
Epoch 17, lr:8.505e-05, train_loss:5.019e-02, val_mAP: 0.7161, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9705, val_loss:3.9152e-02
Epoch 18, lr:8.305e-05, train_loss:4.923e-02, val_mAP: 0.7287, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9702, val_loss:3.9872e-02
Epoch 19, lr:8.096e-05, train_loss:4.710e-02, val_mAP: 0.7425, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9730, val_loss:4.2925e-02
Epoch 20, lr:7.878e-05, train_loss:4.494e-02, val_mAP: 0.7667, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9739, val_loss:3.7538e-02
