Run time in 2025-04-30_11-38-59, Model:model_Vanilla_resnet更新内容：实验-model_Vanilla_resnet
Current Configuration:
            Model Name: model_Vanilla_resnet
            Parameters: 23.539M
            FLOPs: 10.793G
            Depth Multiplier: 3
            Expansion: 1
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 0.0001
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:1.000e-04, train_loss:6.146e-01, val_mAP: 0.0602, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.5496, val_loss:3.0265e-01
Epoch 2, lr:1.675e-05, train_loss:1.611e-01, val_mAP: 0.1312, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8291, val_loss:1.1201e-01
Epoch 3, lr:3.336e-05, train_loss:9.861e-02, val_mAP: 0.1425, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8515, val_loss:9.2195e-02
Epoch 4, lr:4.993e-05, train_loss:8.784e-02, val_mAP: 0.1629, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8686, val_loss:8.8279e-02
Epoch 5, lr:6.645e-05, train_loss:8.185e-02, val_mAP: 0.2287, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8889, val_loss:8.4811e-02
Epoch 6, lr:8.292e-05, train_loss:7.668e-02, val_mAP: 0.3237, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9058, val_loss:7.7988e-02
Epoch 7, lr:9.925e-05, train_loss:7.239e-02, val_mAP: 0.3742, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9264, val_loss:7.1126e-02
Epoch 8, lr:9.837e-05, train_loss:6.838e-02, val_mAP: 0.4374, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9302, val_loss:6.7986e-02
Epoch 9, lr:9.736e-05, train_loss:6.510e-02, val_mAP: 0.4859, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9355, val_loss:6.3030e-02
Epoch 10, lr:9.623e-05, train_loss:6.100e-02, val_mAP: 0.5237, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9403, val_loss:6.2267e-02
Epoch 11, lr:9.497e-05, train_loss:5.885e-02, val_mAP: 0.5409, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9403, val_loss:6.6737e-02
Epoch 12, lr:9.359e-05, train_loss:5.733e-02, val_mAP: 0.5423, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9442, val_loss:5.8312e-02
Epoch 13, lr:9.210e-05, train_loss:5.580e-02, val_mAP: 0.5623, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9434, val_loss:5.6477e-02
Epoch 14, lr:9.049e-05, train_loss:5.436e-02, val_mAP: 0.6125, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9520, val_loss:5.4601e-02
Epoch 15, lr:8.878e-05, train_loss:5.216e-02, val_mAP: 0.6199, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9536, val_loss:5.5154e-02
Epoch 16, lr:8.697e-05, train_loss:5.159e-02, val_mAP: 0.6639, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9552, val_loss:5.0736e-02
Epoch 17, lr:8.505e-05, train_loss:4.939e-02, val_mAP: 0.6500, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9598, val_loss:4.9890e-02
Epoch 18, lr:8.305e-05, train_loss:4.979e-02, val_mAP: 0.6612, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9580, val_loss:5.0125e-02
Epoch 19, lr:8.096e-05, train_loss:4.776e-02, val_mAP: 0.6560, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9603, val_loss:4.8469e-02
Epoch 20, lr:7.878e-05, train_loss:4.733e-02, val_mAP: 0.6991, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9639, val_loss:4.4241e-02
Epoch 21, lr:7.654e-05, train_loss:4.488e-02, val_mAP: 0.6561, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9534, val_loss:5.3517e-02
Epoch 22, lr:7.422e-05, train_loss:4.502e-02, val_mAP: 0.6965, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9638, val_loss:4.4596e-02
