Run time in 2025-04-30_12-12-06, Model:model_Vanilla_resnext更新内容：实验-model_Vanilla_resnext
Current Configuration:
            Model Name: model_Vanilla_resnext
            Parameters: 23.011M
            FLOPs: 11.196G
            Depth Multiplier: 3
            Expansion: 1
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 0.0001
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:1.000e-04, train_loss:5.831e-01, val_mAP: 0.0217, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.4702, val_loss:2.7615e-01
Epoch 2, lr:1.675e-05, train_loss:1.780e-01, val_mAP: 0.1071, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8193, val_loss:1.1782e-01
Epoch 3, lr:3.336e-05, train_loss:1.074e-01, val_mAP: 0.1400, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8430, val_loss:9.2437e-02
Epoch 4, lr:4.993e-05, train_loss:9.008e-02, val_mAP: 0.1651, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8741, val_loss:8.8021e-02
Epoch 5, lr:6.645e-05, train_loss:8.142e-02, val_mAP: 0.3074, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9056, val_loss:7.8006e-02
Epoch 6, lr:8.292e-05, train_loss:7.199e-02, val_mAP: 0.4788, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9377, val_loss:6.4292e-02
Epoch 7, lr:9.925e-05, train_loss:6.458e-02, val_mAP: 0.5182, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9423, val_loss:6.3341e-02
Epoch 8, lr:9.837e-05, train_loss:5.950e-02, val_mAP: 0.5700, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9468, val_loss:6.7521e-02
Epoch 9, lr:9.736e-05, train_loss:5.619e-02, val_mAP: 0.6253, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9538, val_loss:5.2738e-02
Epoch 10, lr:9.623e-05, train_loss:5.249e-02, val_mAP: 0.6734, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9617, val_loss:5.0579e-02
Epoch 11, lr:9.497e-05, train_loss:5.029e-02, val_mAP: 0.6770, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9590, val_loss:5.1665e-02
Epoch 12, lr:9.359e-05, train_loss:4.808e-02, val_mAP: 0.6912, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9621, val_loss:4.7462e-02
Epoch 13, lr:9.210e-05, train_loss:4.748e-02, val_mAP: 0.7236, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9641, val_loss:4.4410e-02
Epoch 14, lr:9.049e-05, train_loss:4.492e-02, val_mAP: 0.7299, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9669, val_loss:4.5000e-02
Epoch 15, lr:8.878e-05, train_loss:4.361e-02, val_mAP: 0.7601, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9679, val_loss:3.9543e-02
Epoch 16, lr:8.697e-05, train_loss:4.254e-02, val_mAP: 0.7154, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9665, val_loss:4.8782e-02
Epoch 17, lr:8.505e-05, train_loss:4.122e-02, val_mAP: 0.7522, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9686, val_loss:4.0102e-02
Epoch 18, lr:8.305e-05, train_loss:4.052e-02, val_mAP: 0.7394, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9691, val_loss:4.0459e-02
Epoch 19, lr:8.096e-05, train_loss:3.974e-02, val_mAP: 0.7880, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9730, val_loss:3.6284e-02
Epoch 20, lr:7.878e-05, train_loss:3.888e-02, val_mAP: 0.7242, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9664, val_loss:4.5055e-02
Epoch 21, lr:7.654e-05, train_loss:3.748e-02, val_mAP: 0.7708, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9724, val_loss:4.0473e-02
Epoch 22, lr:7.422e-05, train_loss:3.709e-02, val_mAP: 0.7850, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9736, val_loss:4.0056e-02
Epoch 23, lr:7.184e-05, train_loss:3.597e-02, val_mAP: 0.7966, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9755, val_loss:3.3554e-02
Epoch 24, lr:6.940e-05, train_loss:3.556e-02, val_mAP: 0.8015, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9741, val_loss:3.5934e-02
Epoch 25, lr:6.692e-05, train_loss:3.446e-02, val_mAP: 0.7760, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9750, val_loss:3.9890e-02
Epoch 26, lr:6.439e-05, train_loss:3.353e-02, val_mAP: 0.7980, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9766, val_loss:3.6418e-02
Epoch 27, lr:6.183e-05, train_loss:3.313e-02, val_mAP: 0.7813, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9748, val_loss:4.1317e-02
Epoch 28, lr:5.924e-05, train_loss:3.280e-02, val_mAP: 0.8272, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9790, val_loss:3.4008e-02
Epoch 29, lr:5.662e-05, train_loss:3.097e-02, val_mAP: 0.8295, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9805, val_loss:3.2095e-02
Epoch 30, lr:5.399e-05, train_loss:3.047e-02, val_mAP: 0.8228, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9789, val_loss:3.1667e-02
Epoch 31, lr:5.136e-05, train_loss:3.000e-02, val_mAP: 0.8194, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9781, val_loss:3.4145e-02
Epoch 32, lr:4.872e-05, train_loss:2.874e-02, val_mAP: 0.8282, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9787, val_loss:3.0998e-02
Epoch 33, lr:4.609e-05, train_loss:2.961e-02, val_mAP: 0.8341, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9803, val_loss:3.2004e-02
Epoch 34, lr:4.348e-05, train_loss:2.842e-02, val_mAP: 0.8484, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9808, val_loss:2.8715e-02
Epoch 35, lr:4.089e-05, train_loss:2.788e-02, val_mAP: 0.8349, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9797, val_loss:3.0100e-02
Epoch 36, lr:3.832e-05, train_loss:2.657e-02, val_mAP: 0.8307, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9799, val_loss:3.2214e-02
Epoch 37, lr:3.580e-05, train_loss:2.654e-02, val_mAP: 0.8332, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.9789, val_loss:3.2235e-02
