Run time in 2025-04-30_18-32-28, Model:model_ourv3_convnext更新内容：实验-model_ourv3_convnext
Current Configuration:
            Model Name: model_ourv3_convnext
            Parameters: 29.534M
            FLOPs: 12.356G
            Depth Multiplier: 3
            Expansion: 2
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 0.0001
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:1.000e-04, train_loss:6.587e-01, val_mAP: 0.0715, val_precision:0.0508, val_recall:0.4690, val_f1_score:0.0701, val_ROC:0.7502, val_loss:6.5336e-01
Epoch 2, lr:1.675e-05, train_loss:5.364e-01, val_mAP: 0.1020, val_precision:0.0962, val_recall:0.3461, val_f1_score:0.1122, val_ROC:0.8575, val_loss:5.8923e-01
Epoch 3, lr:3.336e-05, train_loss:3.927e-01, val_mAP: 0.1109, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8683, val_loss:2.6936e-01
Epoch 4, lr:4.993e-05, train_loss:2.478e-01, val_mAP: 0.1399, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8767, val_loss:1.7517e-01
Epoch 5, lr:6.645e-05, train_loss:1.610e-01, val_mAP: 0.1675, val_precision:0.0000, val_recall:0.0000, val_f1_score:0.0000, val_ROC:0.8849, val_loss:1.3370e-01
Epoch 6, lr:8.292e-05, train_loss:1.179e-01, val_mAP: 0.2135, val_precision:0.1118, val_recall:0.0920, val_f1_score:0.0906, val_ROC:0.8934, val_loss:1.1523e-01
Epoch 7, lr:9.925e-05, train_loss:9.699e-02, val_mAP: 0.2690, val_precision:0.1306, val_recall:0.0726, val_f1_score:0.0813, val_ROC:0.9089, val_loss:1.0569e-01
Epoch 8, lr:9.837e-05, train_loss:8.542e-02, val_mAP: 0.3965, val_precision:0.2208, val_recall:0.1566, val_f1_score:0.1803, val_ROC:0.9275, val_loss:7.0167e-02
Epoch 9, lr:9.736e-05, train_loss:7.679e-02, val_mAP: 0.4804, val_precision:0.3509, val_recall:0.2481, val_f1_score:0.2520, val_ROC:0.9458, val_loss:6.2883e-02
Epoch 10, lr:9.623e-05, train_loss:6.857e-02, val_mAP: 0.5904, val_precision:0.5820, val_recall:0.3899, val_f1_score:0.3930, val_ROC:0.9549, val_loss:5.9254e-02
Epoch 11, lr:9.497e-05, train_loss:6.153e-02, val_mAP: 0.6527, val_precision:0.7507, val_recall:0.4471, val_f1_score:0.5165, val_ROC:0.9623, val_loss:4.6604e-02
Epoch 12, lr:9.359e-05, train_loss:5.622e-02, val_mAP: 0.6857, val_precision:0.7863, val_recall:0.5014, val_f1_score:0.5638, val_ROC:0.9582, val_loss:4.6722e-02
Epoch 13, lr:9.210e-05, train_loss:5.204e-02, val_mAP: 0.7355, val_precision:0.8208, val_recall:0.5785, val_f1_score:0.6508, val_ROC:0.9639, val_loss:4.1546e-02
Epoch 14, lr:9.049e-05, train_loss:4.810e-02, val_mAP: 0.7702, val_precision:0.7773, val_recall:0.6221, val_f1_score:0.6636, val_ROC:0.9690, val_loss:3.8174e-02
Epoch 15, lr:8.878e-05, train_loss:4.471e-02, val_mAP: 0.7891, val_precision:0.8583, val_recall:0.6511, val_f1_score:0.7015, val_ROC:0.9778, val_loss:3.6443e-02
Epoch 16, lr:8.697e-05, train_loss:4.227e-02, val_mAP: 0.8122, val_precision:0.8443, val_recall:0.6582, val_f1_score:0.7225, val_ROC:0.9780, val_loss:3.0564e-02
Epoch 17, lr:8.505e-05, train_loss:4.079e-02, val_mAP: 0.8260, val_precision:0.8342, val_recall:0.7601, val_f1_score:0.7782, val_ROC:0.9792, val_loss:3.1115e-02
Epoch 18, lr:8.305e-05, train_loss:3.929e-02, val_mAP: 0.8133, val_precision:0.8803, val_recall:0.6858, val_f1_score:0.7456, val_ROC:0.9715, val_loss:3.2063e-02
Epoch 19, lr:8.096e-05, train_loss:3.721e-02, val_mAP: 0.8270, val_precision:0.8593, val_recall:0.7177, val_f1_score:0.7736, val_ROC:0.9756, val_loss:3.0440e-02
Epoch 20, lr:7.878e-05, train_loss:3.614e-02, val_mAP: 0.8471, val_precision:0.8691, val_recall:0.7662, val_f1_score:0.7908, val_ROC:0.9766, val_loss:2.8385e-02
Epoch 21, lr:7.654e-05, train_loss:3.335e-02, val_mAP: 0.8563, val_precision:0.8947, val_recall:0.7506, val_f1_score:0.8108, val_ROC:0.9783, val_loss:2.4461e-02
Epoch 22, lr:7.422e-05, train_loss:3.310e-02, val_mAP: 0.8553, val_precision:0.8915, val_recall:0.7708, val_f1_score:0.8036, val_ROC:0.9783, val_loss:2.6169e-02
Epoch 23, lr:7.184e-05, train_loss:3.236e-02, val_mAP: 0.8506, val_precision:0.8790, val_recall:0.7580, val_f1_score:0.7908, val_ROC:0.9716, val_loss:3.1044e-02
Epoch 24, lr:6.940e-05, train_loss:3.070e-02, val_mAP: 0.8639, val_precision:0.8765, val_recall:0.7801, val_f1_score:0.8157, val_ROC:0.9757, val_loss:2.5105e-02
Epoch 25, lr:6.692e-05, train_loss:2.993e-02, val_mAP: 0.8729, val_precision:0.8988, val_recall:0.7850, val_f1_score:0.8249, val_ROC:0.9828, val_loss:2.3233e-02
Epoch 26, lr:6.439e-05, train_loss:2.993e-02, val_mAP: 0.8806, val_precision:0.9216, val_recall:0.7810, val_f1_score:0.8356, val_ROC:0.9808, val_loss:2.3067e-02
Epoch 27, lr:6.183e-05, train_loss:2.766e-02, val_mAP: 0.8546, val_precision:0.8895, val_recall:0.7666, val_f1_score:0.7959, val_ROC:0.9702, val_loss:3.2101e-02
Epoch 28, lr:5.924e-05, train_loss:2.755e-02, val_mAP: 0.8615, val_precision:0.8846, val_recall:0.7725, val_f1_score:0.8001, val_ROC:0.9727, val_loss:3.2092e-02
Epoch 29, lr:5.662e-05, train_loss:2.560e-02, val_mAP: 0.8799, val_precision:0.8984, val_recall:0.7987, val_f1_score:0.8400, val_ROC:0.9764, val_loss:2.5201e-02
Epoch 30, lr:5.399e-05, train_loss:2.624e-02, val_mAP: 0.8745, val_precision:0.9009, val_recall:0.7918, val_f1_score:0.8366, val_ROC:0.9789, val_loss:2.4635e-02
Epoch 31, lr:5.136e-05, train_loss:2.543e-02, val_mAP: 0.8897, val_precision:0.9120, val_recall:0.7786, val_f1_score:0.8307, val_ROC:0.9836, val_loss:2.3755e-02
Epoch 32, lr:4.872e-05, train_loss:2.449e-02, val_mAP: 0.8790, val_precision:0.9111, val_recall:0.7891, val_f1_score:0.8404, val_ROC:0.9783, val_loss:2.3772e-02
Epoch 33, lr:4.609e-05, train_loss:2.437e-02, val_mAP: 0.8742, val_precision:0.9206, val_recall:0.7715, val_f1_score:0.8196, val_ROC:0.9738, val_loss:2.6288e-02
Epoch 34, lr:4.348e-05, train_loss:2.365e-02, val_mAP: 0.8881, val_precision:0.9149, val_recall:0.7979, val_f1_score:0.8417, val_ROC:0.9794, val_loss:2.2372e-02
Epoch 35, lr:4.089e-05, train_loss:2.210e-02, val_mAP: 0.8832, val_precision:0.8851, val_recall:0.8146, val_f1_score:0.8436, val_ROC:0.9775, val_loss:2.4789e-02
Epoch 36, lr:3.832e-05, train_loss:2.087e-02, val_mAP: 0.8960, val_precision:0.9006, val_recall:0.8086, val_f1_score:0.8368, val_ROC:0.9785, val_loss:2.5130e-02
Epoch 37, lr:3.580e-05, train_loss:2.202e-02, val_mAP: 0.8908, val_precision:0.9050, val_recall:0.8028, val_f1_score:0.8357, val_ROC:0.9788, val_loss:2.5279e-02
Epoch 38, lr:3.331e-05, train_loss:2.210e-02, val_mAP: 0.9025, val_precision:0.9202, val_recall:0.8125, val_f1_score:0.8556, val_ROC:0.9855, val_loss:2.1298e-02
Epoch 39, lr:3.088e-05, train_loss:2.127e-02, val_mAP: 0.8898, val_precision:0.8919, val_recall:0.8279, val_f1_score:0.8520, val_ROC:0.9793, val_loss:2.3432e-02
Epoch 40, lr:2.850e-05, train_loss:2.078e-02, val_mAP: 0.8997, val_precision:0.9117, val_recall:0.8271, val_f1_score:0.8614, val_ROC:0.9819, val_loss:2.1710e-02
Epoch 41, lr:2.618e-05, train_loss:1.964e-02, val_mAP: 0.8928, val_precision:0.8800, val_recall:0.8308, val_f1_score:0.8496, val_ROC:0.9792, val_loss:2.4549e-02
Epoch 42, lr:2.393e-05, train_loss:1.921e-02, val_mAP: 0.8984, val_precision:0.8994, val_recall:0.8302, val_f1_score:0.8527, val_ROC:0.9822, val_loss:2.3809e-02
Epoch 43, lr:2.176e-05, train_loss:1.885e-02, val_mAP: 0.8983, val_precision:0.9153, val_recall:0.8271, val_f1_score:0.8574, val_ROC:0.9797, val_loss:2.4173e-02
Epoch 44, lr:1.967e-05, train_loss:1.919e-02, val_mAP: 0.9075, val_precision:0.9122, val_recall:0.8278, val_f1_score:0.8579, val_ROC:0.9843, val_loss:2.1981e-02
Epoch 45, lr:1.766e-05, train_loss:1.708e-02, val_mAP: 0.9008, val_precision:0.9006, val_recall:0.8289, val_f1_score:0.8540, val_ROC:0.9807, val_loss:2.3160e-02
Epoch 46, lr:1.575e-05, train_loss:1.790e-02, val_mAP: 0.9045, val_precision:0.9091, val_recall:0.8287, val_f1_score:0.8599, val_ROC:0.9825, val_loss:2.1908e-02
Epoch 47, lr:1.393e-05, train_loss:1.780e-02, val_mAP: 0.9041, val_precision:0.8988, val_recall:0.8349, val_f1_score:0.8622, val_ROC:0.9841, val_loss:2.1663e-02
Epoch 48, lr:1.222e-05, train_loss:1.692e-02, val_mAP: 0.9057, val_precision:0.9114, val_recall:0.8306, val_f1_score:0.8636, val_ROC:0.9825, val_loss:2.1804e-02
Epoch 49, lr:1.062e-05, train_loss:1.830e-02, val_mAP: 0.9070, val_precision:0.9184, val_recall:0.8320, val_f1_score:0.8660, val_ROC:0.9842, val_loss:2.1469e-02
Epoch 50, lr:9.124e-06, train_loss:1.745e-02, val_mAP: 0.9054, val_precision:0.9192, val_recall:0.8291, val_f1_score:0.8656, val_ROC:0.9840, val_loss:2.1359e-02
Epoch 51, lr:7.747e-06, train_loss:1.732e-02, val_mAP: 0.9094, val_precision:0.9197, val_recall:0.8317, val_f1_score:0.8665, val_ROC:0.9854, val_loss:2.1190e-02
Epoch 52, lr:6.489e-06, train_loss:1.629e-02, val_mAP: 0.9072, val_precision:0.9085, val_recall:0.8368, val_f1_score:0.8637, val_ROC:0.9850, val_loss:2.1697e-02
Epoch 53, lr:5.354e-06, train_loss:1.604e-02, val_mAP: 0.9050, val_precision:0.9205, val_recall:0.8330, val_f1_score:0.8653, val_ROC:0.9835, val_loss:2.1447e-02
Epoch 54, lr:4.345e-06, train_loss:1.570e-02, val_mAP: 0.9111, val_precision:0.9243, val_recall:0.8333, val_f1_score:0.8700, val_ROC:0.9858, val_loss:2.0364e-02
Epoch 55, lr:3.465e-06, train_loss:1.660e-02, val_mAP: 0.9091, val_precision:0.9201, val_recall:0.8370, val_f1_score:0.8697, val_ROC:0.9850, val_loss:2.0598e-02
Epoch 56, lr:2.716e-06, train_loss:1.595e-02, val_mAP: 0.9072, val_precision:0.9099, val_recall:0.8375, val_f1_score:0.8642, val_ROC:0.9837, val_loss:2.1691e-02
Epoch 57, lr:2.100e-06, train_loss:1.712e-02, val_mAP: 0.9068, val_precision:0.9087, val_recall:0.8405, val_f1_score:0.8684, val_ROC:0.9837, val_loss:2.1236e-02
