Run time in 2025-04-30_17-44-06, Model:model_ourv3_regnet更新内容：实验-model_ourv3_regnet
Current Configuration:
            Model Name: model_ourv3_regnet
            Parameters: 16.784M
            FLOPs: 9.240G
            Depth Multiplier: 3
            Expansion: 2
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 0.0001
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:1.000e-04, train_loss:6.782e-01, val_mAP: 0.0617, val_precision:0.0533, val_recall:0.2789, val_f1_score:0.0854, val_ROC:0.7208, val_loss:5.9356e-01
Epoch 2, lr:1.675e-05, train_loss:5.146e-01, val_mAP: 0.1256, val_precision:0.0667, val_recall:0.0018, val_f1_score:0.0035, val_ROC:0.7573, val_loss:3.7953e-01
Epoch 3, lr:3.336e-05, train_loss:3.451e-01, val_mAP: 0.1454, val_precision:0.0667, val_recall:0.0622, val_f1_score:0.0643, val_ROC:0.8100, val_loss:2.5540e-01
Epoch 4, lr:4.993e-05, train_loss:2.146e-01, val_mAP: 0.1926, val_precision:0.0667, val_recall:0.0658, val_f1_score:0.0662, val_ROC:0.8488, val_loss:1.5980e-01
Epoch 5, lr:6.645e-05, train_loss:1.381e-01, val_mAP: 0.3071, val_precision:0.3280, val_recall:0.1284, val_f1_score:0.1520, val_ROC:0.8921, val_loss:1.3625e-01
Epoch 6, lr:8.292e-05, train_loss:9.939e-02, val_mAP: 0.3946, val_precision:0.2988, val_recall:0.2151, val_f1_score:0.2433, val_ROC:0.9091, val_loss:7.9235e-02
Epoch 7, lr:9.925e-05, train_loss:8.082e-02, val_mAP: 0.4690, val_precision:0.5009, val_recall:0.2061, val_f1_score:0.2573, val_ROC:0.9288, val_loss:7.0509e-02
Epoch 8, lr:9.837e-05, train_loss:6.847e-02, val_mAP: 0.5753, val_precision:0.6011, val_recall:0.3554, val_f1_score:0.3956, val_ROC:0.9340, val_loss:5.8938e-02
Epoch 9, lr:9.736e-05, train_loss:6.161e-02, val_mAP: 0.5781, val_precision:0.6650, val_recall:0.3329, val_f1_score:0.4057, val_ROC:0.9447, val_loss:5.5013e-02
Epoch 10, lr:9.623e-05, train_loss:5.610e-02, val_mAP: 0.6440, val_precision:0.7443, val_recall:0.4316, val_f1_score:0.5027, val_ROC:0.9527, val_loss:4.8992e-02
Epoch 11, lr:9.497e-05, train_loss:5.372e-02, val_mAP: 0.6457, val_precision:0.8250, val_recall:0.3895, val_f1_score:0.4688, val_ROC:0.9430, val_loss:5.3509e-02
Epoch 12, lr:9.359e-05, train_loss:5.028e-02, val_mAP: 0.6655, val_precision:0.8730, val_recall:0.4368, val_f1_score:0.5276, val_ROC:0.9554, val_loss:4.7422e-02
Epoch 13, lr:9.210e-05, train_loss:4.677e-02, val_mAP: 0.6665, val_precision:0.8553, val_recall:0.4309, val_f1_score:0.5238, val_ROC:0.9587, val_loss:4.6235e-02
Epoch 14, lr:9.049e-05, train_loss:4.507e-02, val_mAP: 0.7058, val_precision:0.9314, val_recall:0.4971, val_f1_score:0.5768, val_ROC:0.9591, val_loss:4.2629e-02
Epoch 15, lr:8.878e-05, train_loss:4.326e-02, val_mAP: 0.7153, val_precision:0.8236, val_recall:0.5373, val_f1_score:0.6000, val_ROC:0.9582, val_loss:4.3712e-02
Epoch 16, lr:8.697e-05, train_loss:4.151e-02, val_mAP: 0.7449, val_precision:0.8408, val_recall:0.5920, val_f1_score:0.6520, val_ROC:0.9624, val_loss:3.9838e-02
Epoch 17, lr:8.505e-05, train_loss:4.042e-02, val_mAP: 0.7385, val_precision:0.9079, val_recall:0.5385, val_f1_score:0.6255, val_ROC:0.9632, val_loss:3.9102e-02
Epoch 18, lr:8.305e-05, train_loss:3.913e-02, val_mAP: 0.7558, val_precision:0.9082, val_recall:0.5684, val_f1_score:0.6482, val_ROC:0.9671, val_loss:3.7632e-02
Epoch 19, lr:8.096e-05, train_loss:3.742e-02, val_mAP: 0.7554, val_precision:0.8682, val_recall:0.5602, val_f1_score:0.6546, val_ROC:0.9626, val_loss:3.9091e-02
Epoch 20, lr:7.878e-05, train_loss:3.649e-02, val_mAP: 0.7656, val_precision:0.8391, val_recall:0.6332, val_f1_score:0.7070, val_ROC:0.9666, val_loss:3.5611e-02
Epoch 21, lr:7.654e-05, train_loss:3.489e-02, val_mAP: 0.7819, val_precision:0.8653, val_recall:0.6322, val_f1_score:0.6864, val_ROC:0.9624, val_loss:3.5214e-02
Epoch 22, lr:7.422e-05, train_loss:3.497e-02, val_mAP: 0.7741, val_precision:0.8585, val_recall:0.6418, val_f1_score:0.6961, val_ROC:0.9654, val_loss:3.5724e-02
Epoch 23, lr:7.184e-05, train_loss:3.357e-02, val_mAP: 0.7713, val_precision:0.8626, val_recall:0.6060, val_f1_score:0.6671, val_ROC:0.9636, val_loss:4.0358e-02
Epoch 24, lr:6.940e-05, train_loss:3.258e-02, val_mAP: 0.7680, val_precision:0.8655, val_recall:0.6578, val_f1_score:0.7128, val_ROC:0.9526, val_loss:3.8366e-02
Epoch 25, lr:6.692e-05, train_loss:3.154e-02, val_mAP: 0.7886, val_precision:0.8504, val_recall:0.6829, val_f1_score:0.7120, val_ROC:0.9603, val_loss:3.9555e-02
Epoch 26, lr:6.439e-05, train_loss:3.127e-02, val_mAP: 0.7979, val_precision:0.8846, val_recall:0.6491, val_f1_score:0.7117, val_ROC:0.9741, val_loss:3.3725e-02
Epoch 27, lr:6.183e-05, train_loss:3.051e-02, val_mAP: 0.7893, val_precision:0.8820, val_recall:0.6017, val_f1_score:0.6844, val_ROC:0.9683, val_loss:3.4439e-02
Epoch 28, lr:5.924e-05, train_loss:2.975e-02, val_mAP: 0.7800, val_precision:0.9198, val_recall:0.5993, val_f1_score:0.6880, val_ROC:0.9709, val_loss:3.7431e-02
Epoch 29, lr:5.662e-05, train_loss:2.794e-02, val_mAP: 0.7956, val_precision:0.9217, val_recall:0.5780, val_f1_score:0.6756, val_ROC:0.9721, val_loss:3.7224e-02
Epoch 30, lr:5.399e-05, train_loss:2.765e-02, val_mAP: 0.7827, val_precision:0.8779, val_recall:0.5852, val_f1_score:0.6745, val_ROC:0.9675, val_loss:3.7557e-02
Epoch 31, lr:5.136e-05, train_loss:2.827e-02, val_mAP: 0.8196, val_precision:0.8835, val_recall:0.6894, val_f1_score:0.7606, val_ROC:0.9741, val_loss:3.1212e-02
Epoch 32, lr:4.872e-05, train_loss:2.622e-02, val_mAP: 0.8149, val_precision:0.9099, val_recall:0.6317, val_f1_score:0.7132, val_ROC:0.9759, val_loss:3.4194e-02
Epoch 33, lr:4.609e-05, train_loss:2.567e-02, val_mAP: 0.8202, val_precision:0.8911, val_recall:0.6848, val_f1_score:0.7491, val_ROC:0.9716, val_loss:3.1454e-02
Epoch 34, lr:4.348e-05, train_loss:2.425e-02, val_mAP: 0.8234, val_precision:0.8846, val_recall:0.6911, val_f1_score:0.7612, val_ROC:0.9769, val_loss:3.0312e-02
Epoch 35, lr:4.089e-05, train_loss:2.449e-02, val_mAP: 0.8366, val_precision:0.8914, val_recall:0.7165, val_f1_score:0.7738, val_ROC:0.9776, val_loss:2.9231e-02
Epoch 36, lr:3.832e-05, train_loss:2.401e-02, val_mAP: 0.8323, val_precision:0.8813, val_recall:0.7120, val_f1_score:0.7729, val_ROC:0.9775, val_loss:2.9257e-02
Epoch 37, lr:3.580e-05, train_loss:2.417e-02, val_mAP: 0.8248, val_precision:0.8331, val_recall:0.7208, val_f1_score:0.7598, val_ROC:0.9768, val_loss:3.2083e-02
Epoch 38, lr:3.331e-05, train_loss:2.393e-02, val_mAP: 0.8193, val_precision:0.8883, val_recall:0.6802, val_f1_score:0.7521, val_ROC:0.9749, val_loss:3.1153e-02
Epoch 39, lr:3.088e-05, train_loss:2.250e-02, val_mAP: 0.8338, val_precision:0.9000, val_recall:0.7081, val_f1_score:0.7780, val_ROC:0.9764, val_loss:3.0102e-02
