Run time in 2025-04-30_15-51-03, Model:model_ourv3_resnet更新内容：实验-model_ourv3_resnet
Current Configuration:
            Model Name: model_ourv3_resnet
            Parameters: 35.611M
            FLOPs: 15.671G
            Depth Multiplier: 3
            Expansion: 2
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 0.0001
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 1, lr:1.000e-04, train_loss:6.546e-01, val_mAP: 0.1219, val_precision:0.1173, val_recall:0.2948, val_f1_score:0.1313, val_ROC:0.7322, val_loss:5.5304e-01
Epoch 2, lr:1.675e-05, train_loss:4.164e-01, val_mAP: 0.2140, val_precision:0.1738, val_recall:0.0836, val_f1_score:0.0876, val_ROC:0.8762, val_loss:3.3525e-01
Epoch 3, lr:3.336e-05, train_loss:2.193e-01, val_mAP: 0.3591, val_precision:0.2294, val_recall:0.2390, val_f1_score:0.2258, val_ROC:0.8813, val_loss:1.6416e-01
Epoch 4, lr:4.993e-05, train_loss:1.256e-01, val_mAP: 0.3982, val_precision:0.3561, val_recall:0.2070, val_f1_score:0.2381, val_ROC:0.8774, val_loss:1.0488e-01
Epoch 5, lr:6.645e-05, train_loss:8.845e-02, val_mAP: 0.4581, val_precision:0.5848, val_recall:0.2069, val_f1_score:0.2590, val_ROC:0.9226, val_loss:7.5579e-02
Epoch 6, lr:8.292e-05, train_loss:7.383e-02, val_mAP: 0.4946, val_precision:0.6479, val_recall:0.2587, val_f1_score:0.2967, val_ROC:0.8871, val_loss:8.6343e-02
Epoch 7, lr:9.925e-05, train_loss:6.669e-02, val_mAP: 0.5272, val_precision:0.5221, val_recall:0.2532, val_f1_score:0.3102, val_ROC:0.9125, val_loss:7.0799e-02
Epoch 8, lr:9.837e-05, train_loss:6.091e-02, val_mAP: 0.5412, val_precision:0.6477, val_recall:0.2286, val_f1_score:0.2973, val_ROC:0.9269, val_loss:7.0580e-02
Epoch 9, lr:9.736e-05, train_loss:5.829e-02, val_mAP: 0.5904, val_precision:0.8378, val_recall:0.3219, val_f1_score:0.3943, val_ROC:0.9198, val_loss:6.2441e-02
Epoch 10, lr:9.623e-05, train_loss:5.564e-02, val_mAP: 0.6518, val_precision:0.7341, val_recall:0.4176, val_f1_score:0.4929, val_ROC:0.9387, val_loss:5.2890e-02
Epoch 11, lr:9.497e-05, train_loss:5.304e-02, val_mAP: 0.6316, val_precision:0.7398, val_recall:0.4548, val_f1_score:0.4816, val_ROC:0.9171, val_loss:6.2504e-02
